id,store_id,employee_code,full_name,national_id,role,hired_at,hourly_rate,active
53,5,EMP-00053,Bernarda Blanca Verdejo,85702717W,Butcher,2025-02-07,13.62,true
54,1,EMP-00054,María Luisa Hierro Otero,41524619M,Baker,2017-05-05,15.63,true
55,7,EMP-00055,Porfirio Pi-Bosch,34683304V,Cashier,2023-09-24,10.73,true
56,5,EMP-00056,Iker del Menendez,26360954X,Butcher,2023-10-15,15.96,true
57,4,EMP-00057,Crescencia Bustamante,82912893D,Department manager,2022-11-09,14.41,true
58,1,EMP-00058,Olimpia Jara Portero,21133879F,Baker,2021-03-18,12.42,true
59,5,EMP-00059,Lucila Verdú Oliveras,73358680L,Fishmonger,2023-04-27,12.81,true
60,1,EMP-00060,Estrella Llamas Calzada,83319677S,Department manager,2019-06-22,13.58,true
61,8,EMP-00061,Florinda Bou Carreño,68019730J,Cashier,2020-08-30,9.00,true
62,6,EMP-00062,Marita Bas Salinas,38422044S,Cashier,2016-03-27,11.75,true
63,3,EMP-00063,Plácido Grau,81103410M,Butcher,2020-09-19,14.24,true
64,6,EMP-00064,Rosario Pedraza Vicens,87328519A,Shelf stacker,2022-07-21,10.35,true
65,8,EMP-00065,Viviana Bolaños-Cardona,23147331Q,Cashier,2021-07-11,13.46,true
66,8,EMP-00066,Gerónimo Hurtado Frutos,44097825V,Security,2020-09-29,9.90,true
67,7,EMP-00067,Asunción Custodia Sáez Dávila,72658394Z,Butcher,2023-08-01,17.23,true
68,3,EMP-00068,Cristian Fajardo,58476061X,Fishmonger,2024-09-11,14.83,false
69,4,EMP-00069,Begoña del Paz,18743821V,Cashier,2019-12-14,9.19,true
70,1,EMP-00070,Bienvenida Bertrán Borrell,00831439N,Department manager,2014-10-16,11.38,true
71,6,EMP-00071,Reyes Ruy Luz Valencia,95465999Z,Cashier,2023-09-14,10.23,true
72,1,EMP-00072,Matilde del Pomares,26962243X,Cashier,2014-11-06,9.00,true
73,7,EMP-00073,Erasmo Jordán Caro,18647379Z,Cashier,2025-02-16,11.16,true
74,8,EMP-00074,Paz Echeverría Vazquez,97638273F,Baker,2021-10-31,14.94,true
75,1,EMP-00075,Serafina Alarcón Aguiló,94248425Z,Butcher,2021-05-07,12.12,true
76,6,EMP-00076,Dalila de Vazquez,49286721K,Cashier,2012-05-22,9.81,true
77,2,EMP-00077,Claudio León-Segura,27273245Y,Cashier,2019-03-27,9.96,true
78,3,EMP-00078,Cristian Mir-Elorza,42838090S,Baker,2020-08-25,14.12,true
79,1,EMP-00079,Renato Cuenca Sabater,29839779Q,Department manager,2015-03-15,16.35,true
80,2,EMP-00080,Isidoro Valbuena-Mariscal,17750994P,Fishmonger,2016-09-27,14.80,true
81,1,EMP-00081,Maristela Cañellas-Díaz,58714772G,Shelf stacker,2022-07-11,10.66,true
82,5,EMP-00082,Silvia Amelia Amigó Llabrés,44878367P,Department manager,2023-01-25,16.63,true
83,8,EMP-00083,Javi Rovira Royo,04910123Z,Shelf stacker,2024-01-24,10.12,false
84,8,EMP-00084,Severiano Colomer Andres,21902768Y,Cashier,2025-01-04,9.92,true
85,2,EMP-00085,Amando de Gálvez,50671106J,Cashier,2012-01-27,9.00,true
86,8,EMP-00086,Domitila Briones Toro,85410552Y,Shelf stacker,2023-10-26,9.00,true
87,7,EMP-00087,Amaya Bosch Marti,00659571T,Department manager,2023-09-26,17.10,true
88,3,EMP-00088,Eugenia Gabaldón Portero,39254656G,Shelf stacker,2020-09-24,9.29,true
89,5,EMP-00089,Íñigo Morera Jordán,16332887N,Cashier,2023-12-24,10.58,true
90,8,EMP-00090,Glauco Malo Aguilar,66144326Y,Shelf stacker,2024-10-18,9.67,true
91,4,EMP-00091,Clímaco del Anaya,67787778Q,Cashier,2020-02-11,10.47,true
92,7,EMP-00092,Tiburcio Ariza Rincón,68835635Q,Shelf stacker,2022-12-18,10.06,true
93,7,EMP-00093,Florentina Evelia Anglada Cal,43989242V,Cashier,2025-03-09,10.51,false
94,8,EMP-00094,Luisina Criado,82416948J,Cashier,2024-07-19,9.97,true
95,6,EMP-00095,Marianela del Juárez,89402131G,Cashier,2024-05-13,9.28,true
96,3,EMP-00096,Alberto Osorio Murillo,60450725D,Butcher,2020-10-05,11.58,true
97,6,EMP-00097,Oriana Paz Antúnez Durán,16887147H,Butcher,2018-07-17,15.08,true
98,2,EMP-00098,Aureliano Roca Torralba,24420606B,Cashier,2016-02-16,11.03,true
99,5,EMP-00099,Patricia Valero Blanch,34735922B,Cashier,2022-11-26,9.03,true
100,5,EMP-00100,Jose de Paz,22191334Z,Shelf stacker,2023-04-18,9.48,true
101,4,EMP-00101,Caridad Rocha Salvador,14904973F,Shelf stacker,2019-12-31,9.47,true
102,8,EMP-00102,Emilio Moliner Ruiz,32996393H,Department manager,2020-10-10,22.91,true
103,8,EMP-00103,Mohamed Alonso Pera,00259099G,Cashier,2022-04-20,9.61,true
104,5,EMP-00104,Lucía de Fuente,85309923W,Butcher,2021-07-13,10.34,false
105,3,EMP-00105,Tania del Pardo,82705630E,Fishmonger,2025-05-24,13.69,false
106,5,EMP-00106,Yolanda Duque,96370403N,Baker,2024-05-27,10.45,true
107,1,EMP-00107,Calixta Segovia Salom,07898300P,Shelf stacker,2011-10-22,10.94,true
108,2,EMP-00108,Fidel Amo Hierro,08612078G,Shelf stacker,2012-12-20,10.71,true
109,7,EMP-00109,Ramón Piña Blanes,56847359F,Cashier,2022-10-02,9.34,true
110,3,EMP-00110,Macarena Viviana Malo Cifuentes,47215100X,Cashier,2022-01-03,9.52,false
