id,iban,customer_id,branch_id,account_type,currency,balance,overdraft_limit,status,opened_at
72,ES8699995015406802192210,404,12,checking,EUR,3199.99,0.00,dormant,2020-11-22
73,ES5199994497289547551740,527,9,savings,EUR,1263.98,0.00,active,2018-05-20
74,ES3899997096284730456247,527,24,checking,EUR,2868.36,0.00,active,2018-11-01
75,ES9399997558653757198304,188,1,savings,EUR,635.32,0.00,active,2009-07-12
76,ES7599996710093693517682,723,20,checking,EUR,1298.05,0.00,active,2022-01-01
77,ES8199996763599061338050,528,10,checking,EUR,1119.33,0.00,active,2021-07-27
78,ES0999996763721722003362,136,10,checking,EUR,2922.16,0.00,active,2012-04-09
79,ES0699993061103063021875,97,8,savings,EUR,714.90,0.00,active,2025-01-08
80,ES9599996710040581776482,136,20,checking,EUR,2070.00,0.00,active,2025-03-30
81,ES0999992166370105515072,180,3,checking,EUR,2300.20,1000.00,active,2024-10-20
82,ES1699991403650439327657,560,7,payroll,EUR,2800.47,0.00,active,2023-08-07
83,ES4099999997976522549038,348,18,savings,EUR,4641.87,0.00,active,2025-03-19
84,ES7599990800207124982100,277,15,checking,EUR,-1052.28,1500.00,active,2022-08-22
85,ES4099996710227412806717,769,20,checking,EUR,1056.06,0.00,active,2021-09-13
86,ES0899999997994928841359,9,18,checking,EUR,2632.23,500.00,active,2023-05-17
87,ES2099995954194507528669,209,13,checking,EUR,1413.25,0.00,active,2024-02-21
88,ES9599996710735555549466,527,20,savings,EUR,3251.20,0.00,active,2020-07-10
89,ES8299997558328436025577,93,1,checking,EUR,1278.75,200.00,active,2017-09-08
90,ES6799991179065551626405,224,6,savings,EUR,1930.32,0.00,active,2016-08-29
91,ES0799991179450343295255,50,6,savings,EUR,2312.74,0.00,dormant,2019-12-23
92,ES4299996763391101837213,779,10,checking,EUR,1402.76,500.00,active,2024-06-22
93,ES4199990800650319432474,746,15,checking,EUR,1071.83,200.00,active,2020-12-14
94,ES4699992753201745419687,380,23,checking,EUR,4327.05,0.00,active,2021-10-26
95,ES4799999590697362535635,739,22,checking,EUR,3564.43,1000.00,active,2020-01-31
96,ES5699999590707842049783,240,22,checking,EUR,4314.85,0.00,active,2014-04-06
97,ES0299992166640458050093,72,3,checking,EUR,1870.51,0.00,active,2024-12-02
98,ES5199995015201532609262,172,12,checking,EUR,520.19,0.00,active,2019-04-24
99,ES6999991342297198270953,145,4,checking,EUR,2322.86,0.00,active,2023-02-12
100,ES1099994896284597674714,364,25,savings,EUR,1340.36,0.00,active,2019-06-16
101,ES0699991342434920072850,20,4,savings,EUR,3905.97,0.00,active,2022-11-28
102,ES8799999623167272329354,452,21,checking,EUR,2837.08,500.00,active,2012-11-05
103,ES7299996710704676885130,140,20,checking,EUR,1566.61,500.00,active,2023-03-10
104,ES4599993597837358476037,377,11,checking,EUR,-48.69,200.00,active,2024-03-14
105,ES3799992166006286772026,82,3,payroll,EUR,1962.93,0.00,active,2015-03-29
106,ES6699991342071482793368,498,4,savings,EUR,2860.61,0.00,dormant,2023-02-25
107,ES4799999087702905846266,686,17,checking,EUR,5217.46,1500.00,active,2020-02-12
108,ES7899995015446901530925,209,12,checking,EUR,491.59,500.00,active,2025-03-08
109,ES2799999984576235409378,774,19,checking,EUR,5356.10,1500.00,active,2017-03-11
110,ES1199999623121397747660,371,21,checking,EUR,2519.56,500.00,dormant,2023-09-10
111,ES5299991665157001340557,575,2,checking,EUR,5556.34,1500.00,active,2021-04-05
112,ES7199991665609380059698,48,2,payroll,EUR,0.00,0.00,closed,2021-02-05
113,ES0299994497218395498030,689,9,checking,EUR,2169.89,1000.00,active,2020-02-01
114,ES4899995015660739353575,299,12,checking,EUR,1735.04,0.00,active,2023-12-24
115,ES9099992753957800256003,655,23,savings,EUR,1481.74,0.00,active,2015-03-23
116,ES7799999984878297341052,283,19,checking,EUR,3658.56,200.00,dormant,2024-04-27
117,ES5199998644440927654237,241,16,checking,EUR,421.46,0.00,active,2022-04-28
118,ES2799997096883020344378,418,24,savings,EUR,2147.98,0.00,active,2015-11-20
119,ES8199991665472468826063,30,2,savings,EUR,2407.21,0.00,active,2016-05-17
120,ES3999997558683773302875,785,1,savings,EUR,3398.07,0.00,active,2020-10-09
121,ES4099998264271475658405,395,5,checking,EUR,1808.26,500.00,active,2012-03-12
122,ES6999999997475129962512,796,18,checking,EUR,6174.43,0.00,active,2024-02-26
123,ES3199992753273301137042,409,23,checking,EUR,8611.37,0.00,active,2025-01-18
124,ES9499990800296399992841,20,15,checking,EUR,1466.62,200.00,active,2017-08-03
125,ES9099999984694429248838,743,19,savings,EUR,2156.41,0.00,active,2025-02-07
126,ES7199998644299613830400,782,16,checking,EUR,1013.16,0.00,active,2024-02-05
127,ES6499997558191555099126,177,1,checking,EUR,5023.70,1500.00,active,2016-10-20
128,ES7199991665672220089715,166,2,checking,EUR,3929.78,500.00,active,2024-12-26
129,ES1999993240603588355354,272,14,checking,EUR,4767.97,1500.00,active,2024-05-23
130,ES7499990800072584237088,355,15,checking,EUR,1225.50,1000.00,dormant,2025-03-06
131,ES0899991665914020086469,346,2,checking,EUR,862.24,200.00,dormant,2023-03-26
132,ES8199999623218141631674,462,21,checking,EUR,1256.49,0.00,active,2015-08-24
133,ES1099997096376195888854,362,24,savings,EUR,2418.56,0.00,active,2021-08-17
134,ES8399991179012693966010,642,6,checking,EUR,1022.59,1000.00,active,2023-12-01
135,ES7799995015887091678081,489,12,checking,EUR,3161.58,1500.00,active,2018-11-24
136,ES8999999087505442673522,241,17,business,EUR,419.16,0.00,active,2021-03-06
137,ES6499999623502369682419,259,21,checking,EUR,2434.36,0.00,dormant,2014-05-15
138,ES8699999997538868321736,259,18,checking,EUR,893.45,500.00,active,2019-02-15
139,ES4499996763832011881940,222,10,checking,EUR,1980.99,1000.00,active,2025-03-27
140,ES2099998264637793681773,766,5,checking,EUR,107.27,0.00,active,2021-06-04
141,ES8899991665496330052750,226,2,savings,EUR,582.46,0.00,dormant,2023-03-28
142,ES6999991179355441503079,740,6,checking,EUR,3870.58,0.00,active,2025-03-29
143,ES7399992753606507409626,1,23,savings,EUR,1156.68,0.00,active,2014-02-01
144,ES1799992166845474147569,202,3,checking,EUR,2095.11,200.00,active,2022-12-26
145,ES8599990800363795538198,776,15,checking,EUR,479.53,200.00,active,2021-09-30
146,ES6599992166424503037337,255,3,checking,EUR,946.01,0.00,active,2020-03-07
147,ES9199991403866346280443,303,7,checking,EUR,2385.87,1000.00,dormant,2025-02-19
148,ES4999999590700147993031,704,22,checking,EUR,940.20,1500.00,active,2008-03-25
149,ES4799990800519823086331,78,15,checking,EUR,1384.43,200.00,active,2019-07-05
150,ES3399994896670656887727,483,25,savings,EUR,1128.21,0.00,active,2019-08-09
151,ES2799992753524302605405,546,23,checking,EUR,808.25,0.00,active,2021-04-03
152,ES8599999590992369727268,477,22,checking,EUR,3433.75,1000.00,active,2021-06-24
153,ES7199999623565259074252,330,21,savings,EUR,2098.08,0.00,active,2023-12-11
154,ES7499998644531560802646,213,16,checking,EUR,3978.41,500.00,active,2023-12-23
155,ES0999993597067928719790,426,11,business,EUR,3503.03,0.00,active,2023-08-16
156,ES2699992753263573927953,352,23,checking,EUR,494.29,0.00,active,2011-07-13
157,ES5399991179741323576267,260,6,checking,EUR,1928.28,1000.00,active,2019-03-19
158,ES7299999997527150129900,336,18,checking,EUR,2585.70,0.00,active,2025-03-05
159,ES4699990800649614390697,224,15,checking,EUR,2185.43,1000.00,active,2016-04-14
160,ES9099999984960419727004,767,19,savings,EUR,1774.90,0.00,active,2021-11-21
161,ES0599994896028379624598,797,25,checking,EUR,2515.61,1000.00,active,2023-09-25
162,ES0799992166109282643460,432,3,savings,EUR,0.00,0.00,closed,2020-01-11
163,ES8499999997712435418727,99,18,checking,EUR,3075.58,500.00,active,2025-02-10
164,ES4799997558875864530426,209,1,checking,EUR,6334.51,0.00,active,2024-06-14
165,ES9699996763575286861850,314,10,checking,EUR,5921.73,500.00,active,2024-10-01
166,ES6499991403456399071017,679,7,checking,EUR,3899.53,0.00,active,2015-11-06
167,ES4099997096517997871663,771,24,savings,EUR,516.95,0.00,active,2015-01-31
168,ES1399993061014943576904,772,8,checking,EUR,4473.39,1500.00,active,2021-06-18
169,ES9499994497709679431272,769,9,savings,EUR,2958.75,0.00,active,2020-08-12
170,ES5399999087525546825882,662,17,savings,EUR,1430.26,0.00,active,2015-05-28
171,ES8699996763627304248579,696,10,checking,EUR,524.84,0.00,dormant,2023-11-03
172,ES8499995015751308833181,176,12,savings,EUR,2486.57,0.00,active,2023-07-26
173,ES1699993061868358159895,87,8,savings,EUR,1888.58,0.00,active,2024-08-04
174,ES7599997096626989933891,738,24,checking,EUR,2605.02,1000.00,active,2017-02-01
175,ES4599999087658785786145,123,17,savings,EUR,604.37,0.00,active,2023-08-07
176,ES5799991179739810994182,279,6,checking,EUR,3509.63,1500.00,active,2019-09-26
177,ES7099993597443755598932,718,11,savings,EUR,1261.35,0.00,active,2024-07-01
178,ES9499991665462014622505,36,2,savings,EUR,6115.38,0.00,active,2020-12-10
179,ES0499991342514320568747,207,4,checking,EUR,1590.63,0.00,active,2023-03-28
180,ES2999995015074314048435,187,12,checking,EUR,1165.64,0.00,active,2025-01-29
181,ES7699993597649488658393,263,11,checking,EUR,2357.03,0.00,active,2021-03-30
182,ES3599991342365028075187,735,4,checking,EUR,5193.29,200.00,active,2020-07-29
183,ES7799997558599756840267,404,1,savings,EUR,1728.13,0.00,active,2022-08-20
184,ES8499999623788035294032,697,21,payroll,EUR,6226.75,0.00,active,2020-11-24
185,ES4099994497937225597188,206,9,checking,EUR,419.44,1000.00,active,2023-01-08
186,ES2999991342621897564406,494,4,checking,EUR,3249.03,500.00,active,2019-10-25
187,ES1799999997786783609393,241,18,checking,EUR,5180.93,0.00,active,2020-07-14
188,ES3999993597448155551112,442,11,checking,EUR,654.05,500.00,active,2019-08-12
189,ES6499993597887640549510,92,11,business,EUR,0.00,0.00,closed,2025-01-26
190,ES0699991179222821084770,17,6,checking,EUR,2149.18,200.00,active,2018-09-17
191,ES4099991665694380329451,623,2,checking,EUR,0.00,1500.00,closed,2022-04-06
192,ES7999996710733056070632,755,20,savings,EUR,1368.27,0.00,active,2024-10-18
193,ES8299994896366119107065,657,25,checking,EUR,1354.08,1500.00,dormant,2023-02-28
194,ES1199999623717820278893,253,21,savings,EUR,414.03,0.00,active,2024-10-25
195,ES2599998644914546890794,574,16,checking,EUR,1396.85,1000.00,active,2021-03-27
196,ES0599993061743733350255,785,8,savings,EUR,1807.06,0.00,active,2020-04-28
197,ES3199999623773783617031,631,21,checking,EUR,3145.92,0.00,active,2024-08-09
198,ES0499994896468440304884,752,25,checking,EUR,0.00,500.00,closed,2025-03-25
199,ES3899993240815546482410,437,14,savings,EUR,529.82,0.00,active,2024-02-10
200,ES2799999997263912944582,604,18,checking,EUR,2139.04,200.00,active,2015-05-18
201,ES4999998264404117874265,289,5,savings,EUR,3767.44,0.00,active,2018-12-31
202,ES8699990800564677608349,393,15,savings,EUR,2235.49,0.00,active,2024-10-28
203,ES3499999623701154372568,551,21,savings,EUR,3122.57,0.00,dormant,2013-02-19
204,ES2499999623421353627058,639,21,savings,EUR,4463.54,0.00,active,2012-05-03
205,ES8399991665695334694605,206,2,checking,EUR,1050.57,0.00,active,2016-03-24
206,ES3799998264678125502848,306,5,checking,EUR,6678.80,500.00,dormant,2024-08-16
207,ES8999995015620134403900,23,12,savings,EUR,1474.76,0.00,active,2016-06-13
208,ES7699991665074303183861,282,2,savings,EUR,1920.40,0.00,active,2023-06-24
209,ES5799996763094708075798,332,10,payroll,EUR,3186.21,0.00,active,2011-11-19
210,ES7199996763164410004097,510,10,savings,EUR,670.71,0.00,active,2024-10-07
211,ES8099997558840186544187,30,1,business,EUR,1791.77,0.00,active,2013-09-04
212,ES0499997558445746602550,488,1,payroll,EUR,1968.04,0.00,active,2023-07-10
213,ES0799992166617354901664,402,3,payroll,EUR,1916.17,0.00,active,2017-04-08
214,ES7099994497277869759325,4,9,savings,EUR,2765.25,0.00,active,2023-03-20
215,ES0499991179575328140144,40,6,checking,EUR,3018.72,0.00,active,2024-08-10
216,ES3399991179899467436126,781,6,checking,EUR,3943.89,0.00,active,2018-05-30
217,ES5399992166665932310328,181,3,checking,EUR,7960.86,200.00,active,2015-08-15
218,ES6899993597896105519636,628,11,checking,EUR,-622.75,1500.00,active,2022-02-23
219,ES2399995015926023406314,276,12,business,EUR,1629.38,0.00,active,2015-04-11
220,ES4699991403728399871364,338,7,checking,EUR,2555.96,200.00,active,2024-05-19
221,ES2999999997271081673577,779,18,checking,EUR,3609.75,1000.00,active,2024-05-08
222,ES8899999623196896873229,25,21,payroll,EUR,2859.55,0.00,active,2022-05-23
223,ES2099994896562905659191,396,25,checking,EUR,1828.49,1500.00,dormant,2017-08-31
224,ES4399991179335785943855,65,6,checking,EUR,407.02,0.00,active,2020-06-03
225,ES7199999997286891251965,499,18,savings,EUR,849.78,0.00,dormant,2022-08-01
226,ES6499992753298064875414,158,23,checking,EUR,2622.67,200.00,active,2017-01-11
227,ES5499999623427276476976,215,21,payroll,EUR,4699.84,0.00,active,2014-10-14
228,ES0899999590814731438200,33,22,checking,EUR,4598.68,1500.00,dormant,2016-12-21
229,ES9599991665746703039388,622,2,checking,EUR,-912.17,1000.00,active,2021-03-29
230,ES6699997558562832942588,74,1,savings,EUR,934.39,0.00,active,2020-08-05
231,ES4799999984249566873307,402,19,savings,EUR,1204.31,0.00,active,2021-02-06
232,ES0399996710705426644477,646,20,checking,EUR,415.38,1500.00,active,2022-03-22
233,ES9299993240598790969265,137,14,checking,EUR,3719.30,0.00,active,2023-03-27
234,ES2199999087237771879839,779,17,savings,EUR,152.37,0.00,active,2025-02-23
235,ES3099999590759844491719,559,22,checking,EUR,4083.55,1000.00,active,2023-12-21
236,ES2499991665566768357662,183,2,savings,EUR,474.29,0.00,active,2025-01-19
237,ES7099991179632922175979,274,6,checking,EUR,3647.95,0.00,active,2018-10-15
238,ES7799996710624303627686,185,20,checking,EUR,1991.56,500.00,active,2023-09-23
239,ES4999991403026532728530,653,7,checking,EUR,164.56,0.00,active,2016-11-15
240,ES1899994896320774121099,650,25,checking,EUR,3707.63,500.00,dormant,2024-10-14
241,ES6999991665159061578250,645,2,checking,EUR,6144.38,500.00,active,2021-09-25
242,ES0799999623954373321873,740,21,savings,EUR,3831.87,0.00,dormant,2025-03-04
243,ES3399997558999101551331,36,1,checking,EUR,2386.12,1500.00,active,2014-11-19
244,ES0399997558295340187950,445,1,checking,EUR,634.07,0.00,active,2025-03-28
245,ES2899998264826019365040,547,5,savings,EUR,5243.91,0.00,active,2020-02-19
246,ES4399997096447293489671,44,24,checking,EUR,1578.67,1500.00,active,2009-11-10
247,ES7899999623177272810975,253,21,savings,EUR,3920.72,0.00,active,2023-08-21
248,ES9599999997789294904233,259,18,savings,EUR,758.47,0.00,active,2021-01-01
249,ES0799997558572278857485,276,1,checking,EUR,3592.69,200.00,active,2023-12-06
250,ES7699999984224347544025,313,19,checking,EUR,1874.20,1500.00,active,2022-04-10
251,ES2899996763669772553137,227,10,savings,EUR,627.61,0.00,active,2021-04-05
252,ES0399993240071180924454,372,14,checking,EUR,683.20,1000.00,active,2020-06-14
253,ES8699994896448714817968,75,25,checking,EUR,4301.65,500.00,active,2018-01-03
254,ES2699993061682655816941,233,8,checking,EUR,4005.18,1500.00,active,2025-02-14
255,ES3299992166433005083663,169,3,payroll,EUR,3405.43,1000.00,dormant,2024-12-10
256,ES3699997558435381548828,507,1,checking,EUR,4477.45,1500.00,active,2020-04-02
257,ES3799996763017157961997,172,10,checking,EUR,1874.77,1000.00,active,2017-04-17
258,ES0699994497937547165992,577,9,payroll,EUR,1088.36,0.00,active,2019-08-03
259,ES9499996763123166425273,443,10,checking,EUR,120.17,0.00,active,2020-03-27
260,ES1799997558329568533660,241,1,payroll,EUR,4851.25,0.00,active,2023-08-01
261,ES6299999997402441031025,517,18,business,EUR,3449.82,0.00,dormant,2022-11-09
262,ES0399998644010313289181,391,16,savings,EUR,2621.72,0.00,active,2023-11-01
263,ES6999999623064783528030,285,21,checking,EUR,10036.52,1500.00,active,2016-01-05
264,ES2899995954926737078484,598,13,savings,EUR,4052.84,0.00,active,2024-05-06
265,ES5499996763590525730028,85,10,checking,EUR,125.31,0.00,active,2016-04-07
266,ES0599992166114380791612,367,3,savings,EUR,3283.46,0.00,dormant,2010-12-14
267,ES0299992166289507532221,59,3,checking,EUR,4894.13,500.00,active,2012-05-03
268,ES8399994896083501723760,553,25,checking,EUR,4789.22,200.00,active,2023-06-24
269,ES4099993061365866487896,169,8,savings,EUR,431.54,0.00,active,2024-12-14
270,ES9299999590610550897039,203,22,checking,EUR,345.18,0.00,active,2020-08-16
271,ES9199996763593013497674,755,10,checking,EUR,0.00,0.00,closed,2023-09-28
272,ES7399991179666495747734,447,6,checking,EUR,3128.73,1500.00,active,2021-07-16
273,ES7399994497234317368334,771,9,checking,EUR,3379.65,1000.00,active,2020-03-06
274,ES9299999984814482865449,325,19,checking,EUR,4327.08,500.00,active,2024-02-07
275,ES4099990800979159389057,490,15,checking,EUR,2913.13,1000.00,active,2019-07-18
276,ES3999996710979795945717,553,20,checking,EUR,6945.87,0.00,active,2013-08-27
277,ES1999998644377643866189,535,16,checking,EUR,0.00,1000.00,closed,2025-02-23
278,ES3599993061975839922226,478,8,checking,EUR,6911.43,0.00,active,2023-07-20
279,ES4599991665895009356891,272,2,savings,EUR,865.30,0.00,active,2023-12-11
280,ES1099993597113257582968,645,11,checking,EUR,1654.58,1500.00,active,2023-10-11
281,ES7999997558969471003668,759,1,business,EUR,5302.43,0.00,active,2018-09-26
282,ES3399992166389934093717,325,3,savings,EUR,1587.07,0.00,active,2023-02-10
283,ES3099998264553806123147,194,5,checking,EUR,2364.14,0.00,active,2021-04-21
284,ES8499995015754875550923,516,12,payroll,EUR,1319.55,1000.00,active,2022-09-22
285,ES2099992166471333817527,752,3,checking,EUR,10138.14,200.00,active,2024-02-28
286,ES1399999087703318671118,236,17,checking,EUR,233.01,200.00,active,2021-05-13
287,ES5699993061963142248980,121,8,checking,EUR,2738.88,0.00,active,2021-01-15
288,ES1099991179122368377846,49,6,checking,EUR,1176.63,500.00,active,2021-11-07
289,ES9499993597210309672202,227,11,checking,EUR,2612.90,200.00,active,2023-03-21
290,ES3899991403977074803141,699,7,checking,EUR,3392.97,500.00,active,2023-02-15
291,ES7099999623470877160433,213,21,savings,EUR,453.25,0.00,active,2021-05-03
292,ES2499992753256496820793,282,23,savings,EUR,1960.80,0.00,active,2025-03-17
293,ES3499991179634564774821,448,6,savings,EUR,2937.26,0.00,active,2024-03-13
294,ES5099997096677417151584,403,24,business,EUR,1181.04,0.00,active,2023-02-22
295,ES0499990800961375801585,104,15,checking,EUR,4298.13,0.00,active,2024-02-05
296,ES2699999623243738961209,702,21,savings,EUR,2556.62,0.00,active,2016-11-29
297,ES0499991342539441561526,540,4,checking,EUR,3442.81,1000.00,active,2022-07-23
298,ES1899993061555495243820,790,8,checking,EUR,3068.73,0.00,active,2022-04-16
299,ES3099993597514065787170,126,11,savings,EUR,1199.96,0.00,active,2014-03-12
300,ES8099997096734990849398,194,24,checking,EUR,5307.18,0.00,active,2021-07-06
301,ES0699999623826354550535,258,21,checking,EUR,2777.43,0.00,active,2008-04-30
302,ES1299992166494167227828,47,3,checking,EUR,2592.06,1500.00,active,2020-10-29
303,ES3699998644511830623672,105,16,checking,EUR,929.98,200.00,active,2024-07-11
304,ES4999999087763573080321,586,17,savings,EUR,3318.30,0.00,active,2018-11-07
305,ES1799996763357547530830,663,10,checking,EUR,2638.77,1500.00,active,2021-01-04
306,ES2999994497806523509016,583,9,checking,EUR,-366.80,1000.00,active,2019-05-15
307,ES3499999590275434171525,260,22,checking,EUR,1725.66,1000.00,active,2024-12-21
308,ES9199993240568588263001,590,14,checking,EUR,1918.46,0.00,active,2024-12-26
309,ES5699993061224342054433,69,8,checking,EUR,873.09,200.00,active,2022-10-10
310,ES0299992166757541098388,510,3,checking,EUR,6518.68,200.00,active,2024-11-14
311,ES2699999623850295734185,692,21,payroll,EUR,1493.34,1000.00,active,2021-02-21
312,ES6999998644074424658113,523,16,payroll,EUR,3544.84,0.00,active,2024-07-07
313,ES6899994497777576512234,157,9,checking,EUR,0.00,0.00,closed,2022-10-08
314,ES0799994896110923078727,246,25,business,EUR,1616.87,0.00,active,2024-03-03
315,ES6899998264283861119197,619,5,checking,EUR,0.00,500.00,closed,2025-03-31
316,ES7799993061880966990529,671,8,checking,EUR,7483.22,200.00,active,2024-10-16
317,ES6599992166576821840032,459,3,savings,EUR,421.75,0.00,active,2021-10-23
318,ES9299998644844352902541,112,16,savings,EUR,2979.97,0.00,active,2020-10-31
319,ES7599996763477499251716,218,10,business,EUR,671.54,0.00,active,2024-11-13
320,ES0299994896926280349734,349,25,payroll,EUR,1917.95,0.00,active,2024-10-06
321,ES2199990800043864648180,578,15,payroll,EUR,2674.67,500.00,dormant,2024-12-23
322,ES7899994497716467190084,568,9,checking,EUR,5065.59,0.00,active,2024-11-18
323,ES2899992753881710236040,14,23,savings,EUR,2255.19,0.00,active,2022-08-26
324,ES8299999984435712292439,355,19,savings,EUR,3722.74,0.00,active,2024-11-26
325,ES7399997096805478632693,766,24,checking,EUR,2005.93,0.00,active,2012-11-30
326,ES9099995015876161226348,464,12,checking,EUR,0.00,500.00,closed,2020-09-14
327,ES8499999590706731116330,176,22,checking,EUR,2044.14,1000.00,active,2023-02-06
328,ES1499990800785327319805,261,15,checking,EUR,589.21,200.00,active,2019-10-19
329,ES2399994896040222611227,663,25,checking,EUR,483.49,0.00,active,2019-02-13
