id,account_id,card_number_masked,card_number_last4,brand,card_type,expires_on,credit_limit,status,issued_at
34,789,411111 ** **** 4651,4651,Visa,credit,2027-07-31,3750.00,active,2023-07-10
35,195,555555 ** **** 4981,4981,Mastercard,credit,2026-03-31,3750.00,blocked,2022-03-01
36,609,555555 ** **** 7645,7645,Mastercard,debit,2029-04-30,,active,2025-04-25
37,783,555555 ** **** 5389,5389,Mastercard,debit,2028-12-31,,active,2024-12-04
38,443,400000 ** **** 4203,4203,Visa,credit,2026-08-31,4561.46,active,2022-08-13
39,715,411111 ** **** 9275,9275,Visa,prepaid,2026-03-31,,active,2022-03-07
40,71,555555 ** **** 5303,5303,Mastercard,debit,2029-04-30,,blocked,2025-04-20
41,3,222100 ** **** 7587,7587,Mastercard,credit,2027-02-28,1952.32,active,2023-02-21
42,140,424242 ** **** 5252,5252,Visa,debit,2028-06-30,,active,2024-06-20
43,371,411111 ** **** 9865,9865,Visa,debit,2028-10-31,,active,2024-10-26
44,534,545454 ** **** 6916,6916,Mastercard,debit,2028-10-31,,active,2024-10-11
45,197,555555 ** **** 9652,9652,Mastercard,credit,2029-04-30,3430.57,active,2025-04-23
46,292,555555 ** **** 5701,5701,Mastercard,debit,2029-05-31,,active,2025-05-10
47,994,371449 ** **** 0101,0101,American Express,credit,2026-01-31,3750.00,active,2022-01-31
48,373,424242 ** **** 8113,8113,Visa,debit,2029-01-31,,active,2025-01-18
49,381,222100 ** **** 6424,6424,Mastercard,credit,2029-03-31,4147.89,cancelled,2025-03-06
50,533,411111 ** **** 3397,3397,Visa,debit,2029-01-31,,active,2025-01-27
51,50,222100 ** **** 3533,3533,Mastercard,credit,2025-03-31,3930.22,expired,2021-03-03
52,954,222100 ** **** 2003,2003,Mastercard,credit,2028-12-31,2528.29,blocked,2024-12-09
53,1016,400000 ** **** 7129,7129,Visa,debit,2028-07-31,,active,2024-07-17
54,267,400000 ** **** 7703,7703,Visa,prepaid,2026-05-31,,active,2022-05-10
55,303,424242 ** **** 6215,6215,Visa,debit,2029-04-30,,active,2025-04-07
56,340,555555 ** **** 5349,5349,Mastercard,credit,2027-10-31,4337.71,active,2023-10-28
57,424,378282 ** **** 0687,0687,American Express,debit,2028-05-31,,active,2024-05-27
58,205,400000 ** **** 7142,7142,Visa,debit,2026-09-30,,active,2022-09-16
59,451,545454 ** **** 2741,2741,Mastercard,debit,2026-01-31,,active,2022-01-18
60,1064,424242 ** **** 0601,0601,Visa,credit,2029-03-31,9028.29,active,2025-03-11
61,717,545454 ** **** 5828,5828,Mastercard,credit,2024-03-31,2402.40,expired,2020-03-10
62,82,555555 ** **** 4037,4037,Mastercard,credit,2027-10-31,2343.08,active,2023-10-29
63,151,411111 ** **** 9287,9287,Visa,credit,2025-12-31,4603.62,active,2021-12-16
64,754,371449 ** **** 3119,3119,American Express,debit,2027-02-28,,active,2023-02-04
65,398,400000 ** **** 3491,3491,Visa,debit,2029-01-31,,active,2025-01-03
66,136,424242 ** **** 2039,2039,Visa,prepaid,2028-02-29,,active,2024-02-28
67,657,424242 ** **** 0377,0377,Visa,prepaid,2024-06-30,,expired,2020-06-16
68,469,424242 ** **** 7812,7812,Visa,credit,2028-02-29,3750.00,active,2024-02-07
69,253,400000 ** **** 7538,7538,Visa,debit,2026-01-31,,blocked,2022-01-04
70,221,545454 ** **** 5473,5473,Mastercard,debit,2028-06-30,,blocked,2024-06-20
71,813,411111 ** **** 9107,9107,Visa,debit,2024-08-31,,expired,2020-08-30
72,843,424242 ** **** 6366,6366,Visa,debit,2024-10-31,,expired,2020-10-02
73,934,411111 ** **** 3151,3151,Visa,debit,2029-05-31,,active,2025-05-06
74,1033,400000 ** **** 6249,6249,Visa,debit,2028-01-31,,cancelled,2024-01-24
75,852,222100 ** **** 8259,8259,Mastercard,debit,2028-10-31,,active,2024-10-16
76,40,555555 ** **** 1181,1181,Mastercard,debit,2028-05-31,,cancelled,2024-05-28
77,369,371449 ** **** 4585,4585,American Express,debit,2026-11-30,,active,2022-11-17
78,1006,400000 ** **** 1376,1376,Visa,credit,2028-11-30,5928.44,active,2024-11-01
79,1015,545454 ** **** 7730,7730,Mastercard,debit,2029-05-31,,active,2025-05-01
80,243,555555 ** **** 1524,1524,Mastercard,credit,2028-06-30,7847.60,active,2024-06-28
81,691,424242 ** **** 1914,1914,Visa,debit,2024-10-31,,expired,2020-10-05
82,351,400000 ** **** 1604,1604,Visa,debit,2027-12-31,,active,2023-12-08
83,938,424242 ** **** 8242,8242,Visa,credit,2027-10-31,7468.49,active,2023-10-01
84,320,411111 ** **** 7333,7333,Visa,credit,2028-12-31,3225.52,active,2024-12-01
85,1012,424242 ** **** 4206,4206,Visa,prepaid,2028-08-31,,active,2024-08-21
86,367,555555 ** **** 3783,3783,Mastercard,debit,2026-08-31,,active,2022-08-25
87,758,555555 ** **** 8017,8017,Mastercard,credit,2029-05-31,4864.48,active,2025-05-28
88,305,411111 ** **** 8412,8412,Visa,debit,2028-02-29,,active,2024-02-21
89,667,424242 ** **** 2401,2401,Visa,debit,2028-08-31,,active,2024-08-26
90,989,400000 ** **** 4869,4869,Visa,debit,2029-03-31,,active,2025-03-20
91,324,411111 ** **** 4158,4158,Visa,credit,2028-12-31,9427.09,active,2024-12-31
92,812,555555 ** **** 6794,6794,Mastercard,credit,2027-11-30,2040.68,active,2023-11-14
93,411,424242 ** **** 7558,7558,Visa,debit,2028-04-30,,cancelled,2024-04-11
94,537,400000 ** **** 0235,0235,Visa,credit,2025-12-31,1350.00,active,2021-12-27
95,671,411111 ** **** 4729,4729,Visa,debit,2028-02-29,,active,2024-02-10
96,51,555555 ** **** 4280,4280,Mastercard,debit,2024-12-31,,expired,2020-12-11
97,545,545454 ** **** 8022,8022,Mastercard,credit,2026-02-28,5376.09,active,2022-02-07
98,470,555555 ** **** 5020,5020,Mastercard,credit,2027-12-31,3750.00,active,2023-12-05
99,283,545454 ** **** 6778,6778,Mastercard,credit,2025-07-31,6256.27,active,2021-07-05
100,384,222100 ** **** 3591,3591,Mastercard,credit,2024-02-29,3750.00,expired,2020-02-23
101,539,545454 ** **** 3167,3167,Mastercard,debit,2028-01-31,,active,2024-01-07
102,771,222100 ** **** 0169,0169,Mastercard,debit,2029-05-31,,active,2025-05-30
103,1058,371449 ** **** 6980,6980,American Express,debit,2029-02-28,,cancelled,2025-02-12
104,698,222100 ** **** 1972,1972,Mastercard,credit,2027-02-28,5999.28,active,2023-02-18
105,440,400000 ** **** 5168,5168,Visa,credit,2028-12-31,4359.62,active,2024-12-31
106,166,545454 ** **** 9276,9276,Mastercard,credit,2028-03-31,2505.62,active,2024-03-18
107,1001,378282 ** **** 8753,8753,American Express,debit,2025-04-30,,expired,2021-04-18
108,893,400000 ** **** 2031,2031,Visa,credit,2025-07-31,6696.76,active,2021-07-17
109,1024,411111 ** **** 9828,9828,Visa,debit,2026-10-31,,active,2022-10-08
110,79,545454 ** **** 7521,7521,Mastercard,debit,2029-03-31,,active,2025-03-20
111,647,400000 ** **** 0515,0515,Visa,prepaid,2025-05-31,,expired,2021-05-26
112,595,555555 ** **** 7187,7187,Mastercard,debit,2028-08-31,,cancelled,2024-08-16
113,252,222100 ** **** 5135,5135,Mastercard,debit,2027-03-31,,active,2023-03-26
114,549,411111 ** **** 3278,3278,Visa,credit,2029-02-28,4797.78,active,2025-02-24
115,1038,411111 ** **** 3519,3519,Visa,credit,2025-03-31,3550.95,expired,2021-03-21
116,131,424242 ** **** 6481,6481,Visa,debit,2027-08-31,,active,2023-08-04
117,365,545454 ** **** 6953,6953,Mastercard,debit,2027-08-31,,active,2023-08-06
118,994,545454 ** **** 9762,9762,Mastercard,credit,2028-02-29,3750.00,blocked,2024-02-29
119,420,400000 ** **** 6631,6631,Visa,debit,2029-03-31,,active,2025-03-06
120,939,545454 ** **** 1512,1512,Mastercard,credit,2027-11-30,3662.45,cancelled,2023-11-20
121,461,400000 ** **** 4761,4761,Visa,credit,2025-03-31,1582.90,expired,2021-03-12
122,79,222100 ** **** 7261,7261,Mastercard,debit,2029-04-30,,blocked,2025-04-16
123,530,400000 ** **** 3288,3288,Visa,credit,2028-11-30,2388.94,active,2024-11-20
124,346,411111 ** **** 5293,5293,Visa,debit,2029-03-31,,active,2025-03-19
125,328,555555 ** **** 9292,9292,Mastercard,debit,2026-08-31,,active,2022-08-12
126,805,555555 ** **** 7809,7809,Mastercard,debit,2028-06-30,,active,2024-06-11
127,548,545454 ** **** 8170,8170,Mastercard,debit,2028-07-31,,blocked,2024-07-02
128,492,424242 ** **** 0428,0428,Visa,credit,2029-03-31,5970.42,active,2025-03-21
129,47,545454 ** **** 5837,5837,Mastercard,debit,2028-06-30,,active,2024-06-19
130,802,555555 ** **** 0016,0016,Mastercard,debit,2024-07-31,,expired,2020-07-12
131,60,222100 ** **** 3206,3206,Mastercard,debit,2025-11-30,,active,2021-11-16
132,797,424242 ** **** 1917,1917,Visa,debit,2027-09-30,,active,2023-09-10
133,349,400000 ** **** 8046,8046,Visa,debit,2024-09-30,,expired,2020-09-17
134,563,424242 ** **** 2365,2365,Visa,debit,2026-10-31,,active,2022-10-08
135,643,545454 ** **** 4597,4597,Mastercard,debit,2025-12-31,,active,2021-12-27
136,991,411111 ** **** 3249,3249,Visa,credit,2028-02-29,5683.67,active,2024-02-15
137,679,400000 ** **** 0909,0909,Visa,debit,2029-01-31,,active,2025-01-08
138,412,222100 ** **** 7338,7338,Mastercard,debit,2028-05-31,,active,2024-05-29
139,280,400000 ** **** 8915,8915,Visa,credit,2028-08-31,2106.24,active,2024-08-17
140,27,400000 ** **** 7758,7758,Visa,credit,2029-05-31,4031.52,active,2025-05-04
141,376,424242 ** **** 2381,2381,Visa,credit,2029-01-31,3241.05,cancelled,2025-01-29
142,269,424242 ** **** 6901,6901,Visa,debit,2029-03-31,,cancelled,2025-03-15
143,616,400000 ** **** 5328,5328,Visa,credit,2026-05-31,3275.62,active,2022-05-04
144,676,424242 ** **** 0306,0306,Visa,debit,2025-04-30,,expired,2021-04-28
145,960,411111 ** **** 6825,6825,Visa,credit,2027-03-31,2445.34,active,2023-03-12
146,458,411111 ** **** 3129,3129,Visa,credit,2026-09-30,3016.03,active,2022-09-09
147,491,400000 ** **** 7057,7057,Visa,debit,2028-11-30,,active,2024-11-18
148,1053,400000 ** **** 0604,0604,Visa,debit,2024-01-31,,expired,2020-01-14
149,317,411111 ** **** 7132,7132,Visa,debit,2028-03-31,,active,2024-03-12
150,1004,424242 ** **** 8880,8880,Visa,debit,2029-05-31,,active,2025-05-02
151,224,555555 ** **** 1513,1513,Mastercard,prepaid,2028-06-30,,active,2024-06-08
152,653,400000 ** **** 2206,2206,Visa,debit,2026-08-31,,active,2022-08-29
153,409,222100 ** **** 9360,9360,Mastercard,credit,2024-10-31,3608.09,expired,2020-10-02
154,383,545454 ** **** 2999,2999,Mastercard,debit,2028-06-30,,active,2024-06-22
155,820,555555 ** **** 0910,0910,Mastercard,credit,2027-09-30,2654.01,active,2023-09-16
156,1055,222100 ** **** 4547,4547,Mastercard,debit,2025-06-30,,active,2021-06-08
157,174,411111 ** **** 6130,6130,Visa,debit,2026-12-31,,active,2022-12-29
158,140,545454 ** **** 4955,4955,Mastercard,prepaid,2029-05-31,,active,2025-05-24
159,573,555555 ** **** 0023,0023,Mastercard,debit,2028-07-31,,cancelled,2024-07-08
160,883,411111 ** **** 8194,8194,Visa,debit,2028-10-31,,blocked,2024-10-17
161,860,222100 ** **** 0431,0431,Mastercard,debit,2028-09-30,,active,2024-09-05
162,115,222100 ** **** 1085,1085,Mastercard,debit,2024-06-30,,expired,2020-06-16
163,247,545454 ** **** 3864,3864,Mastercard,debit,2027-12-31,,active,2023-12-14
164,460,222100 ** **** 5039,5039,Mastercard,debit,2028-08-31,,active,2024-08-03
165,1083,424242 ** **** 5207,5207,Visa,debit,2028-03-31,,active,2024-03-28
166,355,400000 ** **** 1246,1246,Visa,credit,2027-12-31,2616.92,active,2023-12-08
167,824,222100 ** **** 9173,9173,Mastercard,debit,2027-02-28,,active,2023-02-05
168,101,222100 ** **** 6050,6050,Mastercard,prepaid,2026-12-31,,blocked,2022-12-31
169,722,555555 ** **** 6718,6718,Mastercard,debit,2028-10-31,,active,2024-10-06
170,869,555555 ** **** 2875,2875,Mastercard,debit,2029-04-30,,active,2025-04-11
171,661,400000 ** **** 4593,4593,Visa,debit,2025-09-30,,active,2021-09-05
172,117,411111 ** **** 5592,5592,Visa,debit,2028-09-30,,active,2024-09-29
173,496,400000 ** **** 4057,4057,Visa,credit,2029-04-30,3153.65,active,2025-04-16
174,1100,411111 ** **** 3206,3206,Visa,debit,2028-07-31,,active,2024-07-15
175,694,545454 ** **** 9352,9352,Mastercard,credit,2029-03-31,2687.83,active,2025-03-04
176,909,545454 ** **** 4756,4756,Mastercard,debit,2029-05-31,,active,2025-05-30
177,132,424242 ** **** 0249,0249,Visa,credit,2026-11-30,2726.97,active,2022-11-22
178,161,545454 ** **** 4160,4160,Mastercard,credit,2027-12-31,3750.00,active,2023-12-18
179,414,424242 ** **** 5805,5805,Visa,credit,2028-08-31,3750.00,active,2024-08-20
180,53,545454 ** **** 4962,4962,Mastercard,debit,2028-08-31,,cancelled,2024-08-21
181,1089,411111 ** **** 4050,4050,Visa,debit,2028-08-31,,active,2024-08-27
182,52,424242 ** **** 1857,1857,Visa,credit,2027-11-30,1814.99,active,2023-11-23
183,514,424242 ** **** 9487,9487,Visa,prepaid,2026-10-31,,active,2022-10-19
184,628,424242 ** **** 4918,4918,Visa,debit,2029-02-28,,active,2025-02-14
185,1076,222100 ** **** 8191,8191,Mastercard,debit,2029-04-30,,active,2025-04-17
186,820,400000 ** **** 5128,5128,Visa,credit,2027-01-31,2654.01,active,2023-01-19
187,571,222100 ** **** 9579,9579,Mastercard,debit,2028-07-31,,active,2024-07-01
188,94,424242 ** **** 0090,0090,Visa,credit,2026-11-30,2786.36,cancelled,2022-11-10
189,942,555555 ** **** 9257,9257,Mastercard,credit,2027-08-31,4147.89,active,2023-08-28
190,122,424242 ** **** 8034,8034,Visa,debit,2028-10-31,,active,2024-10-20
191,674,222100 ** **** 6799,6799,Mastercard,debit,2029-05-31,,active,2025-05-01
192,880,400000 ** **** 0574,0574,Visa,debit,2029-05-31,,cancelled,2025-05-23
193,520,400000 ** **** 3202,3202,Visa,debit,2024-08-31,,expired,2020-08-08
194,899,424242 ** **** 9410,9410,Visa,credit,2025-10-31,3403.74,cancelled,2021-10-23
195,930,400000 ** **** 2436,2436,Visa,credit,2027-01-31,3275.62,active,2023-01-18
196,518,400000 ** **** 2688,2688,Visa,credit,2028-05-31,4851.44,active,2024-05-25
197,203,411111 ** **** 0952,0952,Visa,debit,2028-04-30,,active,2024-04-25
198,789,222100 ** **** 7101,7101,Mastercard,debit,2027-08-31,,active,2023-08-10
199,394,424242 ** **** 0414,0414,Visa,debit,2028-10-31,,active,2024-10-06
200,362,555555 ** **** 9388,9388,Mastercard,debit,2028-04-30,,active,2024-04-18
201,485,545454 ** **** 0383,0383,Mastercard,credit,2027-11-30,3710.99,active,2023-11-21
202,1086,222100 ** **** 5946,5946,Mastercard,debit,2027-03-31,,active,2023-03-31
203,186,222100 ** **** 6562,6562,Mastercard,debit,2027-05-31,,active,2023-05-22
204,195,545454 ** **** 6696,6696,Mastercard,debit,2026-06-30,,active,2022-06-14
205,144,555555 ** **** 7863,7863,Mastercard,debit,2027-06-30,,blocked,2023-06-17
206,1,222100 ** **** 7615,7615,Mastercard,debit,2026-12-31,,active,2022-12-20
207,45,424242 ** **** 0806,0806,Visa,debit,2029-01-31,,active,2025-01-13
208,64,424242 ** **** 5351,5351,Visa,credit,2025-05-31,3098.72,expired,2021-05-06
209,739,400000 ** **** 7348,7348,Visa,debit,2028-06-30,,active,2024-06-08
210,924,424242 ** **** 3510,3510,Visa,debit,2027-11-30,,active,2023-11-18
211,537,371449 ** **** 4341,4341,American Express,credit,2027-05-31,1350.00,active,2023-05-12
212,298,424242 ** **** 0583,0583,Visa,debit,2026-04-30,,active,2022-04-28
213,986,222100 ** **** 8794,8794,Mastercard,credit,2025-06-30,3750.00,active,2021-06-03
214,122,400000 ** **** 0660,0660,Visa,debit,2028-11-30,,blocked,2024-11-27
215,171,222100 ** **** 5241,5241,Mastercard,debit,2028-02-29,,active,2024-02-19
216,975,400000 ** **** 6293,6293,Visa,debit,2028-05-31,,active,2024-05-03
217,1013,545454 ** **** 7218,7218,Mastercard,debit,2025-09-30,,active,2021-09-09
218,559,400000 ** **** 7704,7704,Visa,debit,2029-02-28,,active,2025-02-15
219,33,222100 ** **** 4238,4238,Mastercard,credit,2026-11-30,3337.97,active,2022-11-04
220,640,555555 ** **** 7163,7163,Mastercard,debit,2026-04-30,,active,2022-04-02
221,685,411111 ** **** 3689,3689,Visa,prepaid,2029-03-31,,active,2025-03-12
222,587,411111 ** **** 9342,9342,Visa,debit,2029-03-31,,active,2025-03-18
223,385,222100 ** **** 8710,8710,Mastercard,debit,2028-01-31,,active,2024-01-14
224,272,411111 ** **** 4066,4066,Visa,credit,2028-04-30,2251.13,active,2024-04-11
225,297,222100 ** **** 8914,8914,Mastercard,credit,2028-07-31,3750.00,active,2024-07-22
226,808,545454 ** **** 5669,5669,Mastercard,credit,2029-02-28,3122.40,active,2025-02-11
227,770,222100 ** **** 8150,8150,Mastercard,debit,2026-11-30,,active,2022-11-03
228,985,400000 ** **** 7953,7953,Visa,debit,2025-04-30,,expired,2021-04-19
229,141,222100 ** **** 6659,6659,Mastercard,debit,2028-06-30,,active,2024-06-22
230,1014,545454 ** **** 4525,4525,Mastercard,credit,2029-03-31,2505.62,active,2025-03-09
231,941,411111 ** **** 4568,4568,Visa,debit,2029-03-31,,active,2025-03-28
232,951,424242 ** **** 6935,6935,Visa,debit,2029-04-30,,cancelled,2025-04-17
233,355,222100 ** **** 7735,7735,Mastercard,debit,2024-06-30,,expired,2020-06-14
234,498,411111 ** **** 4104,4104,Visa,debit,2027-09-30,,active,2023-09-06
235,702,400000 ** **** 3266,3266,Visa,credit,2024-07-31,4232.04,expired,2020-07-15
236,477,411111 ** **** 6153,6153,Visa,debit,2026-10-31,,active,2022-10-28
237,389,411111 ** **** 5591,5591,Visa,debit,2028-08-31,,active,2024-08-14
238,21,411111 ** **** 9155,9155,Visa,debit,2028-04-30,,active,2024-04-13
239,215,400000 ** **** 3000,3000,Visa,debit,2029-03-31,,blocked,2025-03-10
240,823,400000 ** **** 2355,2355,Visa,debit,2027-10-31,,active,2023-10-07
241,446,411111 ** **** 3545,3545,Visa,debit,2025-01-31,,expired,2021-01-26
242,622,424242 ** **** 9127,9127,Visa,debit,2029-03-31,,active,2025-03-17
243,446,424242 ** **** 8619,8619,Visa,debit,2024-08-31,,expired,2020-08-24
244,204,424242 ** **** 5181,5181,Visa,debit,2024-07-31,,expired,2020-07-06
245,343,424242 ** **** 3653,3653,Visa,debit,2026-11-30,,active,2022-11-03
246,863,545454 ** **** 0490,0490,Mastercard,debit,2029-02-28,,active,2025-02-23
247,983,545454 ** **** 8915,8915,Mastercard,debit,2028-09-30,,cancelled,2024-09-18
248,1014,222100 ** **** 7250,7250,Mastercard,credit,2029-05-31,2505.62,active,2025-05-16
249,587,424242 ** **** 7437,7437,Visa,prepaid,2029-04-30,,active,2025-04-17
250,290,424242 ** **** 4552,4552,Visa,credit,2028-09-30,7100.67,active,2024-09-28
251,573,400000 ** **** 3106,3106,Visa,debit,2028-08-31,,active,2024-08-22
252,209,222100 ** **** 0054,0054,Mastercard,debit,2024-02-29,,expired,2020-02-02
253,36,400000 ** **** 0981,0981,Visa,debit,2028-04-30,,active,2024-04-06
254,144,411111 ** **** 5463,5463,Visa,debit,2028-08-31,,active,2024-08-30
255,668,424242 ** **** 8698,8698,Visa,credit,2025-06-30,6609.90,active,2021-06-19
256,744,222100 ** **** 6476,6476,Mastercard,credit,2027-01-31,3750.00,active,2023-01-28
257,955,411111 ** **** 8289,8289,Visa,debit,2024-11-30,,expired,2020-11-03
258,788,411111 ** **** 3310,3310,Visa,debit,2025-08-31,,active,2021-08-15
259,294,222100 ** **** 9852,9852,Mastercard,debit,2028-12-31,,active,2024-12-09
260,205,222100 ** **** 6910,6910,Mastercard,debit,2027-09-30,,cancelled,2023-09-15
261,915,555555 ** **** 9533,9533,Mastercard,debit,2029-05-31,,active,2025-05-09
262,1041,545454 ** **** 3652,3652,Mastercard,debit,2027-05-31,,active,2023-05-01
263,949,424242 ** **** 4019,4019,Visa,credit,2028-07-31,3750.00,blocked,2024-07-05
264,523,400000 ** **** 5571,5571,Visa,debit,2026-02-28,,active,2022-02-01
265,268,424242 ** **** 8701,8701,Visa,prepaid,2028-07-31,,active,2024-07-29
266,148,411111 ** **** 1150,1150,Visa,debit,2028-04-30,,cancelled,2024-04-15
267,777,400000 ** **** 4145,4145,Visa,debit,2028-10-31,,blocked,2024-10-19
268,600,545454 ** **** 5008,5008,Mastercard,debit,2028-11-30,,active,2024-11-13
269,854,424242 ** **** 5339,5339,Visa,debit,2028-04-30,,active,2024-04-07
270,754,411111 ** **** 0598,0598,Visa,debit,2029-04-30,,active,2025-04-25
271,430,555555 ** **** 7601,7601,Mastercard,credit,2029-04-30,2720.65,active,2025-04-12
272,984,222100 ** **** 7452,7452,Mastercard,prepaid,2029-05-31,,active,2025-05-06
273,478,555555 ** **** 4036,4036,Mastercard,credit,2028-10-31,5049.62,active,2024-10-28
274,628,400000 ** **** 6432,6432,Visa,debit,2029-03-31,,active,2025-03-17
275,911,222100 ** **** 7251,7251,Mastercard,debit,2025-09-30,,active,2021-09-21
276,466,545454 ** **** 4124,4124,Mastercard,debit,2029-01-31,,cancelled,2025-01-31
277,481,545454 ** **** 6989,6989,Mastercard,debit,2028-06-30,,active,2024-06-06
278,618,424242 ** **** 7977,7977,Visa,debit,2029-03-31,,active,2025-03-28
279,429,400000 ** **** 9313,9313,Visa,debit,2025-08-31,,cancelled,2021-08-04
280,608,400000 ** **** 5753,5753,Visa,debit,2028-06-30,,active,2024-06-26
281,549,555555 ** **** 5981,5981,Mastercard,credit,2028-06-30,4797.78,active,2024-06-18
282,641,222100 ** **** 0874,0874,Mastercard,debit,2027-07-31,,active,2023-07-08
283,756,222100 ** **** 4513,4513,Mastercard,credit,2024-09-30,6320.58,expired,2020-09-19
284,433,400000 ** **** 7517,7517,Visa,debit,2026-03-31,,active,2022-03-19
285,892,411111 ** **** 1505,1505,Visa,credit,2026-11-30,3750.00,active,2022-11-22
286,482,411111 ** **** 9779,9779,Visa,credit,2024-12-31,3175.42,expired,2020-12-23
287,945,411111 ** **** 9456,9456,Visa,credit,2028-11-30,6696.76,active,2024-11-01
288,70,400000 ** **** 0077,0077,Visa,debit,2028-02-29,,active,2024-02-14
289,265,400000 ** **** 6298,6298,Visa,debit,2024-04-30,,expired,2020-04-23
290,892,411111 ** **** 7162,7162,Visa,credit,2028-05-31,3750.00,active,2024-05-20
291,927,424242 ** **** 5504,5504,Visa,debit,2028-09-30,,active,2024-09-17
292,700,555555 ** **** 7905,7905,Mastercard,debit,2029-03-31,,active,2025-03-30
293,576,411111 ** **** 7093,7093,Visa,debit,2026-03-31,,active,2022-03-30
294,156,400000 ** **** 0648,0648,Visa,debit,2026-11-30,,active,2022-11-17
295,164,424242 ** **** 9868,9868,Visa,credit,2029-01-31,3750.00,active,2025-01-12
296,1079,555555 ** **** 1607,1607,Mastercard,credit,2028-01-31,5026.59,active,2024-01-16
297,1031,222100 ** **** 5975,5975,Mastercard,debit,2028-03-31,,active,2024-03-29
298,236,545454 ** **** 6855,6855,Mastercard,debit,2029-05-31,,active,2025-05-03
299,7,411111 ** **** 5487,5487,Visa,credit,2027-10-31,4736.05,active,2023-10-25
300,654,400000 ** **** 6475,6475,Visa,debit,2029-04-30,,blocked,2025-04-22
301,549,555555 ** **** 8747,8747,Mastercard,credit,2029-05-31,4797.78,active,2025-05-03
302,630,555555 ** **** 4025,4025,Mastercard,credit,2027-04-30,2823.13,active,2023-04-12
303,16,545454 ** **** 6901,6901,Mastercard,debit,2029-03-31,,active,2025-03-26
304,145,411111 ** **** 7037,7037,Visa,debit,2027-10-31,,active,2023-10-12
305,156,411111 ** **** 8917,8917,Visa,credit,2026-12-31,6497.38,active,2022-12-18
306,1056,400000 ** **** 8020,8020,Visa,debit,2027-03-31,,active,2023-03-25
307,389,222100 ** **** 7434,7434,Mastercard,debit,2028-08-31,,active,2024-08-20
308,214,555555 ** **** 1911,1911,Mastercard,credit,2029-04-30,3558.48,active,2025-04-14
309,153,424242 ** **** 5052,5052,Visa,credit,2029-04-30,1580.09,active,2025-04-07
310,960,400000 ** **** 7764,7764,Visa,debit,2027-10-31,,active,2023-10-02
